DATE,PRICE,AMOUNT,LEVERAGE,ACTION,SIDE,PROFIT (USDT),ROE(%)
,51690.96,0.015,2,BUY,SHORT,0,0
,58862.05,0.015,2,SELL,SHORT,-107.56635,-27.746012
,58862.05,0.015,2,BUY,LONG,0,0
,49631.32,0.015,2,SELL,LONG,-138.46095,-31.363943
,49631.32,0.015,2,BUY,SHORT,0,0
,37237.6,0.015,2,SELL,SHORT,185.9058,49.943141
,37237.6,0.015,2,BUY,LONG,0,0
,44940.73,0.015,2,SELL,LONG,115.54695,41.37286
,44940.73,0.015,2,BUY,SHORT,0,0
,48121.41,0.015,2,SELL,SHORT,-47.7102,-14.154999
,48121.41,0.015,2,BUY,LONG,0,0
,43015.62,0.015,2,SELL,LONG,-76.58685,-21.220451
,43015.62,0.015,2,BUY,SHORT,0,0
,49224.94,0.015,2,SELL,SHORT,-93.1398,-28.870071
,49224.94,0.015,2,BUY,LONG,0,0
,59707.51,0.015,2,SELL,LONG,157.23855,42.590484
,59707.51,0.015,2,BUY,SHORT,0,0
,,,,,,-4.77285,10.551009